"base id","name","surname","amount 1","amount 2"
"38092","A","","550337","-627209"
"16743","A","","-496296","726506"
"48903","A","","",""
"90629","A","","",""
"47461","A","","",""
"74721","A","","",""
"81505","A","","",""
"98056","A","","",""
"10879","A","","",""
"70590","A","","",""
"49877","A","","",""
"99686","A","","",""
"38152","A","","",""
"50122","A","","",""
"23476","A","","",""
"82582","A","","",""
"17605","A","","",""
"82553","A","","",""
"48887","A","","",""
"87021","A","","",""
"55051","A","","",""
"78540","A","","",""
"15922","A","","",""
"71610","A","","",""
"69850","A","","",""
"4533","A","","",""
"88182","A","","",""
"23234","A","","",""
"19184","A","","",""
"40093","A","","",""
"79245","A","","",""
"23264","A","","",""
"78151","A","","",""
"86655","A","","",""
"44208","A","","",""
"53420","A","","",""
"89493","A","","",""
"47487","A","","",""
"88034","A","","",""
"92096","A","","",""
"15331","A","","",""
"24320","A","","",""
"82479","A","","",""
"46015","A","","",""
"85065","A","","",""
"23864","A","","",""
"31180","A","","",""
"78790","A","","",""
"17754","A","","",""
"65673","A","","",""
"82423","A","","",""
"35374","A","","",""
"10832","A","","",""
"3752","A","","",""
"65007","A","","",""
"66157","A","","",""
"9503","A","","",""
"20179","A","","",""
"66128","A","","",""
"70436","A","","",""
"93626","A","","",""
"47906","A","","",""
"94818","A","","",""
"94492","A","","",""
"48940","A","","",""
"62483","A","","",""
"61936","A","","",""
"1399","A","","",""
"15743","A","","",""
"32449","A","","",""
"39426","A","","",""
"69399","A","","",""
"94485","A","","",""
"13705","A","","",""
"91438","A","","",""
"13076","A","","",""
"90232","A","","",""
"61601","A","","",""
"90704","A","","",""
"34085","A","","",""
"46099","A","","",""
"17939","A","","",""
"65276","A","","",""
"97873","A","","",""
"53560","A","","",""
"51313","A","","",""
"28059","A","","",""
"34250","A","","",""
"60303","A","","",""
"78470","A","","",""
"65144","A","","",""
"2374","A","","",""
"87404","A","","",""
"30181","A","","",""
"51068","A","","",""
"92161","A","","",""
"99755","A","","",""
"80545","A","","",""
"34562","A","","",""
"94688","A","","",""
"14935","A","","",""
"71553","A","","",""
"23567","A","","",""
"5168","A","","",""
"32022","A","","",""
"14346","A","","",""
"24811","A","","",""
"11344","A","","",""
"57400","A","","",""
"50749","A","","",""
"32003","A","","",""
"48376","A","","",""
"7339","A","","",""
"1802","A","","",""
"60239","A","","",""
"93833","A","","",""
"79285","A","","",""
"34256","A","","",""
"86217","A","","",""
"78282","A","","",""
"58006","A","","",""
"15450","A","","",""
"25219","A","","",""
"24341","A","","",""
"2545","A","","",""
"42237","A","","",""
"73877","A","","",""
"23102","A","","",""
"85039","A","","",""
"83592","A","","",""
"73815","A","","",""
"38313","A","","",""
"78832","A","","",""
"59279","A","","",""
"60140","A","","",""
"90092","A","","",""
"16450","A","","",""
"27761","A","","",""
"70518","A","","",""
"9253","A","","",""
"72364","A","","",""
"5919","A","","",""
"53563","A","","",""
"14434","A","","",""
"27237","A","","",""
"70170","A","","",""
"18126","A","","",""
"9569","A","","",""
"57908","A","","",""
"16065","A","","",""
"58498","A","","",""
"10445","A","","",""
"85355","A","","",""
"93058","A","","",""
"47846","A","","",""
"84523","A","","",""
"93815","A","","",""
"20271","A","","",""
"7284","A","","",""
"845","A","","",""
"89883","A","","",""
"56321","A","","",""
"28591","A","","",""
"51346","A","","",""
